행정동명,연월,유입인구
서울특별시 강남구 개포1동,2022년 01월,"465,795"
서울특별시 강남구 개포1동,2022년 02월,"403,013"
서울특별시 강남구 개포1동,2022년 03월,"471,768"
서울특별시 강남구 개포1동,2022년 04월,"507,967"
서울특별시 강남구 개포1동,2022년 05월,"648,622"
서울특별시 강남구 개포1동,2022년 06월,"517,406"
서울특별시 강남구 개포1동,2022년 07월,"524,206"
서울특별시 강남구 개포1동,2022년 08월,"508,872"
서울특별시 강남구 개포1동,2022년 09월,"529,199"
서울특별시 강남구 개포1동,2022년 10월,"550,554"
서울특별시 강남구 개포1동,2022년 11월,"545,338"
서울특별시 강남구 개포1동,2022년 12월,"531,273"
서울특별시 강남구 개포1동,2023년 01월,"502,123"
서울특별시 강남구 개포1동,2023년 02월,"516,388"
서울특별시 강남구 개포1동,2023년 03월,"606,047"
서울특별시 강남구 개포1동,2023년 04월,"566,657"
서울특별시 강남구 개포1동,2023년 05월,"584,093"
서울특별시 강남구 개포1동,2023년 06월,"583,585"
서울특별시 강남구 개포1동,2023년 07월,"577,527"
서울특별시 강남구 개포1동,2023년 08월,"583,856"
서울특별시 강남구 개포1동,2023년 09월,"586,592"
서울특별시 강남구 개포1동,2023년 10월,"641,397"
서울특별시 강남구 개포1동,2023년 11월,"569,434"
서울특별시 강남구 개포1동,2023년 12월,"826,875"
서울특별시 강남구 개포1동,2024년 01월,"966,546"
서울특별시 강남구 개포1동,2024년 02월,"1,009,911"
서울특별시 강남구 개포1동,2024년 03월,"1,299,745"
서울특별시 강남구 개포1동,2024년 04월,"1,286,954"
서울특별시 강남구 개포1동,2024년 05월,"1,320,114"
서울특별시 강남구 개포1동,2024년 06월,"1,293,004"
서울특별시 강남구 개포1동,2024년 07월,"1,300,812"
서울특별시 강남구 개포2동,2022년 01월,"858,095"
서울특별시 강남구 개포2동,2022년 02월,"753,453"
서울특별시 강남구 개포2동,2022년 03월,"894,432"
서울특별시 강남구 개포2동,2022년 04월,"1,036,812"
서울특별시 강남구 개포2동,2022년 05월,"1,332,663"
서울특별시 강남구 개포2동,2022년 06월,"1,057,517"
서울특별시 강남구 개포2동,2022년 07월,"1,047,513"
서울특별시 강남구 개포2동,2022년 08월,"1,007,807"
서울특별시 강남구 개포2동,2022년 09월,"1,059,214"
서울특별시 강남구 개포2동,2022년 10월,"1,061,463"
서울특별시 강남구 개포2동,2022년 11월,"1,071,987"
서울특별시 강남구 개포2동,2022년 12월,"1,061,854"
서울특별시 강남구 개포2동,2023년 01월,"978,216"
서울특별시 강남구 개포2동,2023년 02월,"1,006,584"
서울특별시 강남구 개포2동,2023년 03월,"1,442,339"
서울특별시 강남구 개포2동,2023년 04월,"1,459,650"
서울특별시 강남구 개포2동,2023년 05월,"1,554,186"
서울특별시 강남구 개포2동,2023년 06월,"1,552,311"
서울특별시 강남구 개포2동,2023년 07월,"1,570,842"
서울특별시 강남구 개포2동,2023년 08월,"1,582,446"
서울특별시 강남구 개포2동,2023년 09월,"1,625,100"
서울특별시 강남구 개포2동,2023년 10월,"1,679,006"
서울특별시 강남구 개포2동,2023년 11월,"1,532,527"
서울특별시 강남구 개포2동,2023년 12월,"1,496,110"
서울특별시 강남구 개포2동,2024년 01월,"1,441,362"
서울특별시 강남구 개포2동,2024년 02월,"1,334,477"
서울특별시 강남구 개포2동,2024년 03월,"1,581,646"
서울특별시 강남구 개포2동,2024년 04월,"1,609,702"
서울특별시 강남구 개포2동,2024년 05월,"1,650,849"
서울특별시 강남구 개포2동,2024년 06월,"1,600,416"
서울특별시 강남구 개포2동,2024년 07월,"1,584,378"
서울특별시 강남구 개포4동,2022년 01월,"748,360"
서울특별시 강남구 개포4동,2022년 02월,"650,532"
서울특별시 강남구 개포4동,2022년 03월,"754,979"
서울특별시 강남구 개포4동,2022년 04월,"849,695"
