,dong,quarter,pop_total,pop_male,pop_female
0,강남구 개포1동,20221,20525,9966,10559
1,강남구 개포1동,20222,20970,10197,10773
2,강남구 개포1동,20223,20920,10164,10756
3,강남구 개포1동,20224,20699,10023,10676
4,강남구 개포1동,20231,20697,9991,10706
5,강남구 개포1동,20232,20645,9952,10693
6,강남구 개포1동,20233,20659,9960,10699
7,강남구 개포1동,20234,25885,12501,13384
8,강남구 개포1동,20241,61944,29980,31964
9,강남구 개포1동,20242,74199,35862,38337
10,강남구 개포2동,20221,84374,40952,43422
11,강남구 개포2동,20222,84327,40919,43408
12,강남구 개포2동,20223,84676,41123,43553
13,강남구 개포2동,20224,85767,41639,44128
14,강남구 개포2동,20231,93643,45400,48243
15,강남구 개포2동,20232,112601,54529,58072
16,강남구 개포2동,20233,120928,58511,62417
17,강남구 개포2동,20234,124519,60216,64303
18,강남구 개포2동,20241,125149,60597,64552
19,강남구 개포2동,20242,125433,60742,64691
20,강남구 개포3동,20221,52571,25443,27128
21,강남구 개포3동,20222,52495,25391,27104
22,강남구 개포3동,20223,52415,25346,27069
23,강남구 개포3동,20224,34757,16814,17943
24,강남구 개포3동,20231,51737,25034,26703
25,강남구 개포3동,20232,51275,24838,26437
26,강남구 개포3동,20233,50911,24665,26246
27,강남구 개포3동,20234,50620,24536,26084
28,강남구 개포3동,20241,50331,24379,25952
29,강남구 개포3동,20242,50203,24260,25943
30,강남구 개포4동,20221,71043,34378,36665
31,강남구 개포4동,20222,70780,34214,36566
32,강남구 개포4동,20223,70851,34222,36629
33,강남구 개포4동,20224,70571,34037,36534
34,강남구 개포4동,20231,70345,33881,36464
35,강남구 개포4동,20232,70310,33863,36447
36,강남구 개포4동,20233,70179,33790,36389
37,강남구 개포4동,20234,69978,33680,36298
38,강남구 개포4동,20241,69423,33398,36025
39,강남구 개포4동,20242,69224,33278,35946
40,강남구 논현1동,20221,66046,31071,34975
41,강남구 논현1동,20222,65972,31072,34900
42,강남구 논현1동,20223,65397,30729,34668
43,강남구 논현1동,20224,64497,30401,34096
44,강남구 논현1동,20231,64099,30274,33825
45,강남구 논현1동,20232,63932,30154,33778
46,강남구 논현1동,20233,63464,29884,33580
