,dong,quarter,pop_floating
0,강남구 개포1동,20221,465795
1,강남구 개포1동,20221,403013
2,강남구 개포1동,20221,471768
3,강남구 개포1동,20222,507967
4,강남구 개포1동,20222,648622
5,강남구 개포1동,20222,517406
6,강남구 개포1동,20222,524206
7,강남구 개포1동,20223,508872
8,강남구 개포1동,20223,529199
9,강남구 개포1동,20223,550554
10,강남구 개포1동,20223,545338
11,강남구 개포1동,20224,531273
12,강남구 개포1동,20231,502123
13,강남구 개포1동,20231,516388
14,강남구 개포1동,20231,606047
15,강남구 개포1동,20232,566657
16,강남구 개포1동,20232,584093
17,강남구 개포1동,20232,583585
18,강남구 개포1동,20232,577527
19,강남구 개포1동,20233,583856
20,강남구 개포1동,20233,586592
21,강남구 개포1동,20233,641397
22,강남구 개포1동,20233,569434
23,강남구 개포1동,20234,826875
24,강남구 개포1동,20241,966546
25,강남구 개포1동,20241,1009911
26,강남구 개포1동,20241,1299745
27,강남구 개포1동,20242,1286954
28,강남구 개포1동,20242,1320114
29,강남구 개포1동,20242,1293004
30,강남구 개포1동,20242,1300812
31,강남구 개포2동,20221,858095
32,강남구 개포2동,20221,753453
33,강남구 개포2동,20221,894432
34,강남구 개포2동,20222,1036812
35,강남구 개포2동,20222,1332663
36,강남구 개포2동,20222,1057517
37,강남구 개포2동,20222,1047513
38,강남구 개포2동,20223,1007807
39,강남구 개포2동,20223,1059214
40,강남구 개포2동,20223,1061463
41,강남구 개포2동,20223,1071987
42,강남구 개포2동,20224,1061854
43,강남구 개포2동,20231,978216
44,강남구 개포2동,20231,1006584
45,강남구 개포2동,20231,1442339
46,강남구 개포2동,20232,1459650
47,강남구 개포2동,20232,1554186
48,강남구 개포2동,20232,1552311
49,강남구 개포2동,20232,1570842
50,강남구 개포2동,20233,1582446
51,강남구 개포2동,20233,1625100
52,강남구 개포2동,20233,1679006
53,강남구 개포2동,20233,1532527
54,강남구 개포2동,20234,1496110
55,강남구 개포2동,20241,1441362
56,강남구 개포2동,20241,1334477
57,강남구 개포2동,20241,1581646
58,강남구 개포2동,20242,1609702
59,강남구 개포2동,20242,1650849
60,강남구 개포2동,20242,1600416
61,강남구 개포2동,20242,1584378
62,강남구 개포3동,20221,556582
63,강남구 개포3동,20221,487378
64,강남구 개포3동,20221,557466
65,강남구 개포3동,20222,632735
66,강남구 개포3동,20222,818472
67,강남구 개포3동,20222,655338
68,강남구 개포3동,20222,653894
69,강남구 개포3동,20223,639472
70,강남구 개포3동,20223,656205
71,강남구 개포3동,20223,668410
72,강남구 개포3동,20223,655021
73,강남구 개포3동,20224,620116
74,강남구 개포3동,20231,583416
75,강남구 개포3동,20231,584942
76,강남구 개포3동,20231,699510
77,강남구 개포3동,20232,659669
78,강남구 개포3동,20232,680279
79,강남구 개포3동,20232,663973
80,강남구 개포3동,20232,661411
81,강남구 개포3동,20233,648530
82,강남구 개포3동,20233,647501
83,강남구 개포3동,20233,679143
84,강남구 개포3동,20233,714976
85,강남구 개포3동,20234,680424
86,강남구 개포3동,20241,660565
87,강남구 개포3동,20241,619487
88,강남구 개포3동,20241,742075
89,강남구 개포3동,20242,758994
90,강남구 개포3동,20242,763920
91,강남구 개포3동,20242,750409
92,강남구 개포3동,20242,754464
93,강남구 개포4동,20221,748360
94,강남구 개포4동,20221,650532
95,강남구 개포4동,20221,754979
96,강남구 개포4동,20222,849695
97,강남구 개포4동,20222,1077904
98,강남구 개포4동,20222,861028
99,강남구 개포4동,20222,867969
100,강남구 개포4동,20223,851877
101,강남구 개포4동,20223,861312
102,강남구 개포4동,20223,874407
103,강남구 개포4동,20223,875637
104,강남구 개포4동,20224,850944
105,강남구 개포4동,20231,796792
106,강남구 개포4동,20231,801061
107,강남구 개포4동,20231,926137
108,강남구 개포4동,20232,884845
109,강남구 개포4동,20232,905703
110,강남구 개포4동,20232,865830
111,강남구 개포4동,20232,878271
112,강남구 개포4동,20233,888888
113,강남구 개포4동,20233,891240
114,강남구 개포4동,20233,1063338
115,강남구 개포4동,20233,979244
116,강남구 개포4동,20234,891017
117,강남구 개포4동,20241,883840
118,강남구 개포4동,20241,860534
119,강남구 개포4동,20241,959911
120,강남구 개포4동,20242,908179
121,강남구 개포4동,20242,916014
122,강남구 개포4동,20242,893911
123,강남구 개포4동,20242,904810
124,강남구 논현1동,20221,2572976
125,강남구 논현1동,20221,2208207
126,강남구 논현1동,20221,2522748
127,강남구 논현1동,20222,2845559
128,강남구 논현1동,20222,3677023
129,강남구 논현1동,20222,2995506
130,강남구 논현1동,20222,3075573
131,강남구 논현1동,20223,2963830
132,강남구 논현1동,20223,2883798
133,강남구 논현1동,20223,2999188
134,강남구 논현1동,20223,3036620
135,강남구 논현1동,20224,3031074
136,강남구 논현1동,20231,2854459
137,강남구 논현1동,20231,2906826
138,강남구 논현1동,20231,3226179
139,강남구 논현1동,20232,2998896
140,강남구 논현1동,20232,3085078
141,강남구 논현1동,20232,3040028
142,강남구 논현1동,20232,3035062
143,강남구 논현1동,20233,2964323
144,강남구 논현1동,20233,2811337
145,강남구 논현1동,20233,2910704
146,강남구 논현1동,20233,2991771
147,강남구 논현1동,20234,3002690
148,강남구 논현1동,20241,3046339
149,강남구 논현1동,20241,2748720
150,강남구 논현1동,20241,2996525
151,강남구 논현1동,20242,2983140
152,강남구 논현1동,20242,3016654
153,강남구 논현1동,20242,2896811
154,강남구 논현1동,20242,3070584
155,강남구 논현2동,20221,2609511
156,강남구 논현2동,20221,2293952
157,강남구 논현2동,20221,2731184
158,강남구 논현2동,20222,3101728
159,강남구 논현2동,20222,3924396
160,강남구 논현2동,20222,3175457
161,강남구 논현2동,20222,3238976
162,강남구 논현2동,20223,3167565
163,강남구 논현2동,20223,3111691
164,강남구 논현2동,20223,3260606
165,강남구 논현2동,20223,3328099
166,강남구 논현2동,20224,3238015
167,강남구 논현2동,20231,2985244
168,강남구 논현2동,20231,3070029
169,강남구 논현2동,20231,3496473
170,강남구 논현2동,20232,3259219
171,강남구 논현2동,20232,3346764
172,강남구 논현2동,20232,3370895
173,강남구 논현2동,20232,3330519
174,강남구 논현2동,20233,3318629
175,강남구 논현2동,20233,3170272
176,강남구 논현2동,20233,3265903
177,강남구 논현2동,20233,3352982
178,강남구 논현2동,20234,3204511
179,강남구 논현2동,20241,3255567
180,강남구 논현2동,20241,2905471
181,강남구 논현2동,20241,3352793
182,강남구 논현2동,20242,3354583
183,강남구 논현2동,20242,3391235
184,강남구 논현2동,20242,3238806
